Bus,Type,Nitte,Karkala
Vishal,Express,07:30,07:50
Reshma,Hybrid,07:32,07:52
Navadurga Prasad,Express,07:35,07:55
Srilaxmi,Local,07:51,08:11
Kusuma,Express,08:03,08:23
Milan,Local,08:08,08:28
Vishal,Express,08:10,08:30
Mercy,Local,08:22,08:42
Navadurga Prasad,Express,08:36,08:56
Keerthi,Local,08:37,08:57
Navadurga Prasad,Express,08:41,09:01
Sangam,Local,09:17,09:37
Laxmi Ganesh,Express,09:20,09:40
Padmambikaa,Express,10:17,10:37
Vishal,Express,11:33,11:53
Shahil,Local,12:03,12:23
Vishal,Express,12:05,12:25
Vishal,Express,12:11,12:31
Christa Jyothi,Local,12:11,12:31
Vishal,Express,12:16,12:36
Navadurga Prasad,Express,12:24,12:44
Sangam,Local,12:43,13:03
Bharathi,Express,12:44,13:04
Bharathi,Express,12:50,13:10
Navadurga Prasad,Express,12:52,13:12
Vishal,Express,13:03,13:23
Milan,Local,13:10,13:30
Sangam,Local,13:16,13:36
Laxmi Ganesh,Express,13:23,13:43
Reshma,Express,13:35,13:55
Christa Jyothi,Local,13:43,14:03
Padmambikaa,Express,13:47,14:07
Pranam,Local,14:06,14:26
Sangam,Local,14:15,14:30
Rashmi Travels,Local,14:25,14:45
Naveen,Local,14:36,14:56
Padmambikaa,Express,14:51,15:11
Christa Kiran,Express,14:54,15:14
Naveen,Local,15:06,15:26
Padmambikaa,Express,15:09,15:29
Vishal,Express,15:24,15:44
Ayra,Express,15:28,15:48
Sangam,Local,15:40,16:00
Vishal,Express,15:43,16:03
Shree Annapoorneshwari,Express,15:55,16:15
Mercy,Express,16:08,16:28
Navadurga Prasad,Express,16:12,16:32
Kanthi,Local,16:21,16:41
Vishal,Express,16:26,16:46
Vishal,Express,16:40,17:00
Sangam,Local,16:44,17:04
Vishal,Express,16:46,17:06
Vishal,Express,16:59,17:19
Pranam,Local,17:07,17:27
